30 68.87 33.60 74.63
60 172.70 58.57 178.43
90 246.33 113.63 229.77
120 303.30 180.97 279.03
150 356.87 224.73 330.43
180 399.17 229.80 359.07
210 437.70 266.40 411.43
240 464.90 296.73 446.50
270 505.80 308.97 463.97
300 549.23 322.70 492.70
330 577.40 361.47 510.53
360 642.67 373.37 583.07
390 647.17 403.93 631.07
420 704.43 437.87 645.53
450 763.87 462.50 653.33
480 796.37 475.03 714.60
510 798.73 489.73 753.27
540 806.03 492.00 791.20
570 799.43 502.23 784.70
600 801.57 502.87 806.63
630 809.10 505.27 803.83
660 811.70 515.73 803.20
690 813.87 525.47 807.50
720 812.17 519.50 802.40
750 814.67 526.50 801.87
780 813.30 527.23 801.63
810 818.53 519.13 808.23
840 817.83 529.70 808.13
870 817.83 524.67 811.77
900 810.30 526.53 811.63
930 814.97 523.63 809.13
960 807.00 527.97 814.10
990 808.33 528.17 801.73
1020 813.60 523.73 808.67
1050 812.10 529.40 801.53
1080 815.13 524.93 814.67
1110 814.33 524.93 809.40
1140 811.47 528.37 810.83
1170 813.17 526.30 809.70
1200 810.40 527.37 563.33
1230 766.13 441.20 67.10
1260 757.67 463.13 78.80
1290 779.17 485.27 93.33
1320 812.60 511.20 115.40
1350 818.93 523.10 131.43
1380 810.97 524.03 147.23
1410 814.50 523.90 171.47
1440 802.23 523.93 180.43
1470 810.33 490.87 161.43
1500 812.90 521.07 165.93
1530 811.27 519.47 172.83
1560 809.03 517.60 179.47
1590 810.93 521.30 186.23
1620 814.40 519.83 195.07
1650 814.40 516.33 211.60
1680 813.30 525.33 229.93
1710 817.00 524.97 257.03
1740 819.63 517.27 279.33
1770 799.97 524.63 281.77
1800 805.67 526.40 281.53
1830 818.67 523.10 287.03
1860 816.73 522.47 291.97
1890 814.77 523.77 296.93
1920 818.37 527.80 302.83
1950 819.83 523.43 350.73
1980 813.80 527.07 411.57
2010 819.57 524.37 451.00
2040 817.30 522.33 521.93
2070 816.03 527.50 523.80
2100 821.20 520.93 525.23
2130 815.47 521.40 519.60
2160 819.07 524.90 525.87
2190 816.73 522.40 530.10
2220 814.00 523.23 527.13
2250 810.93 522.90 528.87
2280 815.47 521.77 528.80
2310 815.20 524.23 531.47
2340 809.93 524.73 528.97
2370 812.70 521.73 529.73
2400 813.77 521.67 435.37
2430 731.17 470.87 266.83
2460 730.97 459.13 256.13
2490 799.53 472.37 303.80
2520 814.60 502.70 352.43
2550 812.23 517.37 387.67
2580 810.60 523.57 446.77
2610 811.53 519.43 498.13
2640 816.07 520.67 554.30
2670 807.40 523.87 640.80
2700 814.57 525.47 711.40
2730 810.13 522.77 741.10
2760 807.03 525.93 761.57
2790 815.70 522.53 781.87
2820 808.87 526.13 805.93
2850 815.77 525.20 803.50
2880 818.10 520.90 799.43
2910 815.27 522.37 797.77
2940 809.13 523.90 809.87
2970 800.63 522.93 809.67
3000 805.47 525.47 800.80
3030 813.57 522.07 809.30
3060 810.77 520.70 810.77
3090 810.10 523.73 796.10
3120 820.53 524.50 803.47
3150 813.77 522.90 812.33
3180 814.90 522.57 813.47
3210 815.13 525.37 805.33
3240 809.83 525.70 797.20
3270 807.13 523.33 807.57
3300 807.37 523.37 809.97
3330 808.67 522.77 811.73
3360 808.80 528.27 812.00
3390 805.27 522.10 805.23
3420 807.77 523.47 811.83
3450 809.77 529.67 810.67
3480 818.43 522.50 812.67
3510 819.07 521.60 805.97
3540 822.50 523.53 806.83
3570 818.57 522.77 810.13
3600 813.03 525.27 813.43
3630 749.13 484.47 786.40
3660 723.67 459.10 727.07
3690 798.97 470.93 747.83
3720 814.20 503.73 785.57
3750 812.27 521.53 805.33
3780 821.03 523.37 810.80
3810 544.00 349.53 533.53
