time baseline nopromise promise
30 118.16666666666667 11.466666666666667 9.433333333333334
60 379.8 27.233333333333334 19.866666666666667
90 541.5666666666667 24.266666666666666 23.433333333333334
120 692.6333333333333 28.533333333333335 28.9
150 648.5666666666667 58.7 33.1
180 509.03333333333336 79.46666666666667 34.96666666666667
210 546.3 82.5 36.666666666666664
240 553.5666666666667 81.7 37.46666666666667
270 627.6333333333333 82.86666666666666 38.3
300 551.5 84.23333333333333 58
330 687.5333333333333 88.4 66.8
360 566.4 88.73333333333333 67.86666666666666
390 578.0333333333333 88.73333333333333 69.3
420 580.7666666666667 88.7 71.46666666666667
450 587.1 88.1 71.66666666666667
480 566.9333333333333 88.33333333333333 73.83333333333333
510 565.3333333333334 87.06666666666666 74.96666666666667
540 565.8666666666667 88.06666666666666 75.23333333333333
570 567.5 88.73333333333333 75.83333333333333
600 607.8333333333334 88.43333333333334 75.73333333333333
