time baseline nopromise promise
30 159.46666666666667 17.966666666666665 14.533333333333333
60 360 54.9 35.13333333333333
90 481.4 94.53333333333333 46.733333333333334
120 606.1 105.73333333333333 52.96666666666667
150 834.9666666666667 113.76666666666667 55.93333333333333
180 843.8333333333334 121.13333333333334 59.06666666666667
210 805.9 124.73333333333333 61.8
240 828.0333333333333 123.66666666666667 62.3
270 833.9 127.2 63.166666666666664
300 806.7666666666667 163 64.83333333333333
330 808.9666666666667 162.9 67.8
360 828.3666666666667 168.6 68.73333333333333
390 832.7333333333333 170.76666666666668 69.66666666666667
420 831.8666666666667 173.96666666666667 69.8
450 814.4 169.4 86.46666666666667
480 846.1666666666666 171.9 131.86666666666667
510 835.5 173.5 140.26666666666668
540 845.9666666666667 175.76666666666668 139.26666666666668
570 845.6333333333333 173.9 148.8
600 828.7 174.93333333333334 143.9
